Unnamed: 0,Modelo,p_físico,Distancia,Condición,N_clusters,N_semillas,N_corridas,F1_medio,F1_std,F1_IC95_inf,F1_IC95_sup,IoU_medio,IoU_std,IoU_IC95_inf,IoU_IC95_sup,Balanced_accuracy_medio,Balanced_accuracy_std,Balanced_accuracy_IC95_inf,Balanced_accuracy_IC95_sup,Precision_medio,Precision_std,Precision_IC95_inf,Precision_IC95_sup,Recall_medio,Recall_std,Recall_IC95_inf,Recall_IC95_sup,AUC_medio,AUC_std,AUC_IC95_inf,AUC_IC95_sup,AUC_PR_medio,AUC_PR_std,AUC_PR_IC95_inf,AUC_PR_IC95_sup
17,CA,0.600%,7,Mismo circuito sin decodificación,30,5,6,0.19,0.117,0.148,0.232,0.115,0.073,0.089,0.141,0.659,0.102,0.623,0.696,0.141,0.09,0.109,0.174,0.342,0.208,0.268,0.417,0.969,0.006,0.967,0.971,0.247,0.104,0.21,0.284
18,CNN,0.100%,3,Código de superficie + MWPM,30,5,6,0.334,0.157,0.277,0.39,0.217,0.103,0.18,0.254,0.842,0.162,0.783,0.9,0.231,0.11,0.192,0.27,0.71,0.328,0.592,0.827,0.979,0.008,0.976,0.982,0.372,0.167,0.313,0.432
19,CNN,0.100%,3,Ideal cuantizada,30,5,6,0.333,0.157,0.277,0.39,0.217,0.103,0.18,0.254,0.842,0.162,0.783,0.9,0.231,0.11,0.192,0.27,0.71,0.328,0.592,0.827,0.979,0.008,0.976,0.982,0.372,0.167,0.313,0.432
20,CNN,0.100%,3,Mismo circuito sin decodificación,30,5,6,0.334,0.157,0.278,0.39,0.218,0.103,0.181,0.255,0.84,0.162,0.782,0.897,0.232,0.11,0.193,0.272,0.705,0.326,0.588,0.822,0.979,0.008,0.976,0.982,0.378,0.166,0.319,0.438
21,CNN,0.100%,5,Código de superficie + MWPM,30,5,6,0.333,0.157,0.277,0.39,0.217,0.103,0.18,0.254,0.842,0.162,0.783,0.9,0.231,0.11,0.192,0.27,0.71,0.328,0.592,0.827,0.979,0.008,0.976,0.982,0.372,0.167,0.313,0.432
22,CNN,0.100%,5,Ideal cuantizada,30,5,6,0.333,0.157,0.277,0.39,0.217,0.103,0.18,0.254,0.842,0.162,0.783,0.9,0.231,0.11,0.192,0.27,0.71,0.328,0.592,0.827,0.979,0.008,0.976,0.982,0.372,0.167,0.313,0.432
23,CNN,0.100%,5,Mismo circuito sin decodificación,30,5,6,0.331,0.156,0.275,0.387,0.216,0.103,0.179,0.253,0.835,0.16,0.777,0.892,0.231,0.11,0.191,0.27,0.695,0.323,0.58,0.811,0.979,0.009,0.976,0.982,0.382,0.165,0.323,0.441
24,CNN,0.100%,7,Código de superficie + MWPM,30,5,6,0.333,0.157,0.277,0.39,0.217,0.103,0.18,0.254,0.842,0.162,0.783,0.9,0.231,0.11,0.192,0.27,0.71,0.328,0.592,0.827,0.979,0.008,0.976,0.982,0.372,0.167,0.313,0.432
25,CNN,0.100%,7,Ideal cuantizada,30,5,6,0.333,0.157,0.277,0.39,0.217,0.103,0.18,0.254,0.842,0.162,0.783,0.9,0.231,0.11,0.192,0.27,0.71,0.328,0.592,0.827,0.979,0.008,0.976,0.982,0.372,0.167,0.313,0.432
26,CNN,0.100%,7,Mismo circuito sin decodificación,30,5,6,0.333,0.148,0.28,0.386,0.216,0.099,0.18,0.252,0.843,0.147,0.791,0.896,0.232,0.107,0.194,0.271,0.712,0.296,0.606,0.818,0.98,0.007,0.977,0.982,0.382,0.157,0.326,0.439
27,CNN,0.600%,3,Código de superficie + MWPM,30,5,6,0.333,0.156,0.277,0.389,0.217,0.103,0.18,0.254,0.84,0.162,0.782,0.897,0.231,0.11,0.192,0.27,0.705,0.326,0.589,0.822,0.979,0.008,0.977,0.982,0.377,0.163,0.319,0.436
28,CNN,0.600%,3,Ideal cuantizada,30,5,6,0.333,0.157,0.277,0.39,0.217,0.103,0.18,0.254,0.842,0.162,0.783,0.9,0.231,0.11,0.192,0.27,0.71,0.328,0.592,0.827,0.979,0.008,0.976,0.982,0.372,0.167,0.313,0.432
29,CNN,0.600%,3,Mismo circuito sin decodificación,30,5,6,0.326,0.157,0.269,0.382,0.212,0.104,0.175,0.249,0.824,0.157,0.768,0.88,0.229,0.112,0.189,0.269,0.674,0.316,0.561,0.787,0.979,0.009,0.975,0.982,0.376,0.166,0.316,0.435
30,CNN,0.600%,5,Código de superficie + MWPM,30,5,6,0.327,0.158,0.271,0.384,0.213,0.104,0.176,0.25,0.833,0.16,0.775,0.89,0.227,0.111,0.188,0.267,0.692,0.323,0.576,0.807,0.979,0.007,0.977,0.982,0.378,0.166,0.319,0.438
31,CNN,0.600%,5,Ideal cuantizada,30,5,6,0.333,0.157,0.277,0.39,0.217,0.103,0.18,0.254,0.842,0.162,0.783,0.9,0.231,0.11,0.192,0.27,0.71,0.328,0.592,0.827,0.979,0.008,0.976,0.982,0.372,0.167,0.313,0.432
32,CNN,0.600%,5,Mismo circuito sin decodificación,30,5,6,0.319,0.151,0.265,0.373,0.208,0.102,0.171,0.244,0.815,0.139,0.765,0.865,0.23,0.114,0.189,0.271,0.654,0.282,0.553,0.755,0.98,0.007,0.977,0.982,0.38,0.151,0.326,0.434
33,CNN,0.600%,7,Código de superficie + MWPM,30,5,6,0.332,0.157,0.276,0.388,0.216,0.103,0.179,0.253,0.839,0.162,0.781,0.897,0.231,0.11,0.192,0.271,0.704,0.326,0.587,0.821,0.979,0.008,0.977,0.982,0.382,0.166,0.322,0.441
